subject,roi,brain_metric,comparator,level,split_mode,n_repeats,n_splits,n_stimuli,n_voxels,rdm_cv,degenerate_rdm,r_hh,r_sb,r_sb_lo,r_sb_hi,ceiling_one_sided
01,Early_VC,euclidean_centered,spearman,L3,contiguous,12,1,100,2585,0.11204529850440066,False,0.4453708371096797,0.6162720675896458,,,0.7850299787840244
01,Early_VC,euclidean_centered,kendall,L3,contiguous,12,1,100,2585,0.11204529850440066,False,0.30738722851877026,0.4702313466332857,,,0.6857341661557237
01,Early_VC,euclidean_centered,l1_r0,L1,alternating,12,1,100,2585,0.11204529850440066,False,0.9969638199695937,0.9984796018835973,,,0.9992395117706251
01,Early_VC,euclidean_centered,pearson,L2,alternating,12,1,100,2585,0.11204529850440066,False,0.5543407217563503,0.7132808321845481,,,0.8445595492234683
01,Early_VC,euclidean_centered,spearman,L3,alternating,12,1,100,2585,0.11204529850440066,False,0.49985692845847957,0.666539479831882,,,0.8164186915008022
01,Early_VC,euclidean_centered,kendall,L3,alternating,12,1,100,2585,0.11204529850440066,False,0.34783813075185066,0.5161422915937535,,,0.7184304361549234
01,Early_VC,mahalanobis,l1_r0,L1,contiguous,12,1,100,2585,3.838470173178778e-16,True,0.999999999999,0.9999999999995001,,,0.99999999999975
01,Early_VC,mahalanobis,pearson,L2,contiguous,12,1,100,2585,3.838470173178778e-16,True,-0.02485970617264593,-0.050986932506036454,,,
01,Early_VC,mahalanobis,spearman,L3,contiguous,12,1,100,2585,3.838470173178778e-16,True,-0.0182633728695163,-0.03720625749270103,,,
01,Early_VC,mahalanobis,kendall,L3,contiguous,12,1,100,2585,3.838470173178778e-16,True,-0.01336688834219506,-0.02709596542880088,,,
01,Early_VC,mahalanobis,l1_r0,L1,alternating,12,1,100,2585,3.838470173178778e-16,True,0.999999999999,0.9999999999995001,,,0.99999999999975
01,Early_VC,mahalanobis,pearson,L2,alternating,12,1,100,2585,3.838470173178778e-16,True,-0.022284176283421445,-0.04558415797897777,,,
01,Early_VC,mahalanobis,spearman,L3,alternating,12,1,100,2585,3.838470173178778e-16,True,0.018506427782926736,0.03634032594808718,,,0.19063138762566667
01,Early_VC,mahalanobis,kendall,L3,alternating,12,1,100,2585,3.838470173178778e-16,True,0.013584641241671355,0.026805144215740612,,,0.16372276633303204
02,LOC,correlation,l1_r0,L1,all,12,462,100,1175,0.19304229597369046,False,0.9881640080751105,0.9940467728633973,0.9921910703488034,0.9953875296459445,0.9970189430815231
02,LOC,correlation,pearson,L2,all,12,462,100,1175,0.19304229597369046,False,0.4736228051643895,0.6428005911751001,0.5365453005980869,0.7181502776308851,0.8017484587918459
02,LOC,correlation,spearman,L3,all,12,462,100,1175,0.19304229597369046,False,0.43974278156409646,0.61086297801941,0.4950819017471616,0.6844144710304569,0.7815772373984609
02,LOC,correlation,kendall,L3,all,12,462,100,1175,0.19304229597369046,False,0.3032019957892953,0.4653184951664511,0.3658954709351994,0.5349389638855648,0.6821425768609163
02,LOC,correlation,l1_r0,L1,contiguous,12,1,100,1175,0.19304229597369046,False,0.9899293230905447,0.9949391785966476,,,0.9974663796823668
02,LOC,correlation,pearson,L2,contiguous,12,1,100,1175,0.19304229597369046,False,0.5314671416132932,0.6940627417620333,,,0.8331042802446962
02,LOC,correlation,spearman,L3,contiguous,12,1,100,1175,0.19304229597369046,False,0.4858372156120471,0.653957527119713,,,0.808676404453421
02,LOC,correlation,kendall,L3,contiguous,12,1,100,1175,0.19304229597369046,False,0.33750926113019464,0.5046832510826871,,,0.7104106214596507
02,LOC,correlation,l1_r0,L1,alternating,12,1,100,1175,0.19304229597369046,False,0.989838837610842,0.9948934746889561,,,0.9974434694201753
02,LOC,correlation,pearson,L2,alternating,12,1,100,1175,0.19304229597369046,False,0.5182625881447391,0.6827048129770976,,,0.8262595312473543
02,LOC,correlation,spearman,L3,alternating,12,1,100,1175,0.19304229597369046,False,0.4554408353254584,0.6258458939330434,,,0.7911042244439372
02,LOC,correlation,kendall,L3,alternating,12,1,100,1175,0.19304229597369046,False,0.3170685231788485,0.48147612307001103,,,0.6938848053315557
02,LOC,euclidean_centered,l1_r0,L1,all,12,462,100,1175,0.1041950239090859,False,0.9978271900498401,0.9989124134654982,0.9986051308289606,0.9991287232711021,0.9994560587967328
