roi,brain_metric,model_rdm,level,comparator,n_stimuli,n_cells,r_sb_model,l1_cv_model,subject,row_type,score_obs,score_per_subject,perm_p,perm_z,n_perm,perm_seed,nili_upper,nili_lower,nili_upper_ci_lo,nili_upper_ci_hi,nili_lower_ci_lo,nili_lower_ci_hi,nili_crossed,l1_baseline,l1_cv_brain,achievement_nili_lower,achievement_nili_upper,r_hh_brain,r_sb_brain,split_mode,n_splits,ceiling_one_sided,ceiling_two_sided,achievement_one_sided,achievement_two_sided,degenerate
LOC,correlation,weights_sorted_fMRI1_test_100_euclidean_rdm.csv,L2,pearson,100,4950,1.0,,sub-02,split_half,0.03096550282382312,,0.1998001998001998,0.8081962762231426,1000,12789112940224746657,,,,,,,False,,,,,0.4736228051643895,0.6428005911751001,all,462.0,0.8017484587918459,0.8017484587918459,0.03862246629134156,0.03862246629134156,False
LOC,correlation,weights_sorted_fMRI1_test_100_euclidean_rdm.csv,L2,pearson,100,4950,1.0,,sub-03,split_half,0.08191996325151286,,0.015984015984015984,2.240870684582098,1000,12789112940224746658,,,,,,,False,,,,,0.2490682284967973,0.3988064427778149,all,462.0,0.6315112372537918,0.6315112372537918,0.12972051551727315,0.12972051551727315,False
LOC,correlation,weights_sorted_fMRI1_test_100_euclidean_rdm.csv,L3,spearman,100,4950,1.0,,F1+F2+F3,nili,0.07506037232274869,0.126445;0.034106;0.064630,0.012987012987012988,2.2146427234026445,1000,12789112940224746655,0.7166139740598725,0.3487817515255589,0.7166139740598725,0.9999999999999999,0.3487817515255589,0.9999999999999999,False,,,0.21520728075490564,0.10474310443250924,,,,,,,,,False
LOC,correlation,weights_sorted_fMRI1_test_100_euclidean_rdm.csv,L3,spearman,100,4950,1.0,,sub-01,split_half,0.12644469675348524,,0.001998001998001998,2.8152168181037878,1000,12789112940224746656,,,,,,,False,,,,,0.2486916142364831,0.3983235114276738,all,462.0,0.6311287597849379,0.6311287597849379,0.20034690987077228,0.20034690987077228,False
LOC,correlation,weights_sorted_fMRI1_test_100_euclidean_rdm.csv,L3,spearman,100,4950,1.0,,sub-02,split_half,0.03410600883088403,,0.24275724275724275,0.7143577309778463,1000,12789112940224746657,,,,,,,False,,,,,0.4397427815640964,0.61086297801941,all,462.0,0.7815772373984609,0.7815772373984609,0.04363741316777401,0.04363741316777401,False
LOC,correlation,weights_sorted_fMRI1_test_100_euclidean_rdm.csv,L3,spearman,100,4950,1.0,,sub-03,split_half,0.0646304113838768,,0.0919080919080919,1.345793670327337,1000,12789112940224746658,,,,,,,False,,,,,0.2337793407971959,0.3789645896423285,all,462.0,0.6156009987340245,0.6156009987340245,0.10498750248422015,0.10498750248422015,False
LOC,correlation,weights_sorted_fMRI1_test_100_euclidean_rdm.csv,L3,kendall,100,4950,1.0,,F1+F2+F3,nili,0.049876470640261295,0.083833;0.022905;0.042892,0.013986013986013986,2.2054275272560857,1000,12789112940224746655,0.5196593248827691,0.23688202076827422,0.5196593248827691,0.9999999999999999,0.23688202076827422,0.9999999999999999,False,,,0.21055405757895024,0.09597916991389122,,,,,,,,,False
LOC,correlation,weights_sorted_fMRI1_test_100_euclidean_rdm.csv,L3,kendall,100,4950,1.0,,sub-01,split_half,0.08383311800567811,,0.001998001998001998,2.7977755781981815,1000,12789112940224746656,,,,,,,False,,,,,0.1679771744291665,0.2876377691392183,all,462.0,0.5363187197359591,0.5363187197359591,0.15631212359499758,0.15631212359499758,False
LOC,correlation,weights_sorted_fMRI1_test_100_euclidean_rdm.csv,L3,kendall,100,4950,1.0,,sub-02,split_half,0.022904739453537187,,0.24175824175824176,0.718496781290045,1000,12789112940224746657,,,,,,,False,,,,,0.3032019957892953,0.4653184951664511,all,462.0,0.6821425768609163,0.6821425768609163,0.03357764231480788,0.03357764231480788,False
LOC,correlation,weights_sorted_fMRI1_test_100_euclidean_rdm.csv,L3,kendall,100,4950,1.0,,sub-03,split_half,0.0428915544615686,,0.09290709290709291,1.3384939306694625,1000,12789112940224746658,,,,,,,False,,,,,0.1574359485599589,0.2720426106616702,all,462.0,0.5215770419235016,0.5215770419235016,0.08223436043770384,0.08223436043770384,False
