roi,brain_metric,model_rdm,level,comparator,n_stimuli,n_cells,nili_upper,nili_lower,nili_upper_ci_lo,nili_upper_ci_hi,nili_lower_ci_lo,nili_lower_ci_hi,nili_crossed,n_subjects,bootstrap,n_boot,boot_seed,l1_cv_model,subject,row_type,score_obs,score_per_subject,perm_p,perm_z,n_perm,perm_seed,nili_upper_subject,nili_lower_subject,l1_baseline,l1_cv_brain,achievement_nili_lower,achievement_nili_upper,degenerate
LOC,correlation,weights_sorted_fMRI1_test_100_dot_product_rdm.csv,L2,corr,100,4950,0.7241934905900478,0.35848481513640723,0.6734769256028614,0.7719487474199094,0.23837233883170975,0.4737874740037173,False,3,pattern,1000,274131568,,sub-02,subject,-0.026424401830886703,,0.832016798320168,-0.9748187130974508,10000,13116174186720867663,0.6866333690730244,0.29727279570613435,,,-0.07371135600494526,-0.036488041074985385,False
LOC,correlation,weights_sorted_fMRI1_test_100_dot_product_rdm.csv,L2,corr,100,4950,0.7241934905900478,0.35848481513640723,0.6734769256028614,0.7719487474199094,0.23837233883170975,0.4737874740037173,False,3,pattern,1000,274131568,,sub-03,subject,-0.05219732454816682,,0.9811018898110189,-2.1157456733200677,10000,13116174186720867664,0.7459414965132034,0.394182588623442,,,-0.14560539901335903,-0.07207648953822858,False
LOC,correlation,weights_sorted_fMRI1_test_100_dot_product_rdm.csv,L3,spearman,100,4950,0.7166139740598726,0.3487817515255589,0.6647006846844156,0.7658287681330188,0.22913171291889767,0.46552678738444114,False,3,pattern,1000,274131568,,F1+F2+F3,group_mean,-0.04234800477479724,-0.069822;-0.020560;-0.036662,0.9522047795220479,-1.6688193370970443,10000,13116174186720867661,,,,,-0.12141691642285923,-0.05909458412439372,False
LOC,correlation,weights_sorted_fMRI1_test_100_dot_product_rdm.csv,L3,spearman,100,4950,0.7166139740598726,0.3487817515255589,0.6647006846844156,0.7658287681330188,0.22913171291889767,0.46552678738444114,False,3,pattern,1000,274131568,,sub-01,subject,-0.06982201660823299,,0.9767023297670233,-2.0281987437055355,10000,13116174186720867662,0.7293212272668476,0.3648790693766147,,,-0.20018827333377961,-0.09743323342226566,False
LOC,correlation,weights_sorted_fMRI1_test_100_dot_product_rdm.csv,L3,spearman,100,4950,0.7166139740598726,0.3487817515255589,0.6647006846844156,0.7658287681330188,0.22913171291889767,0.46552678738444114,False,3,pattern,1000,274131568,,sub-02,subject,-0.020559566597676427,,0.712928707129287,-0.5504494536397441,10000,13116174186720867663,0.693716853845243,0.3164389074306153,,,-0.05894679554692761,-0.028689876756378588,False
LOC,correlation,weights_sorted_fMRI1_test_100_dot_product_rdm.csv,L3,spearman,100,4950,0.7166139740598726,0.3487817515255589,0.6647006846844156,0.7658287681330188,0.22913171291889767,0.46552678738444114,False,3,pattern,1000,274131568,,sub-03,subject,-0.036662431118482317,,0.8600139986001399,-1.0815112585972813,10000,13116174186720867664,0.7268038410675274,0.36502727776944677,,,-0.1051156803878705,-0.05116064219453694,False
LOC,correlation,weights_sorted_fMRI1_test_100_euclidean_rdm.csv,L1,cosine,100,4950,0.9932821775910973,0.9848752464191873,0.9915127324109534,0.9948540460218066,0.9808977376132256,0.9884142956901815,False,3,pattern,1000,274131568,0.1584528529687979,F1+F2+F3,group_mean,0.9758698520633194,0.977830;0.970698;0.979082,0.0031996800319968005,2.7707281266736246,10000,12789112940224746655,,,0.9738886836713583,,0.18032649859963185,0.1021563417175025,False
LOC,correlation,weights_sorted_fMRI1_test_100_euclidean_rdm.csv,L1,cosine,100,4950,0.9932821775910973,0.9848752464191873,0.9915127324109534,0.9948540460218066,0.9808977376132256,0.9884142956901815,False,3,pattern,1000,274131568,0.1584528529687979,sub-01,subject,0.977829563398455,,0.0007999200079992001,3.431069028065142,10000,12789112940224746656,0.9937837237440482,0.9859954396678099,0.9746754743819355,0.1638855755675248,0.30923132448451157,0.16951358771426145,False
LOC,correlation,weights_sorted_fMRI1_test_100_euclidean_rdm.csv,L1,cosine,100,4950,0.9932821775910973,0.9848752464191873,0.9915127324109534,0.9948540460218066,0.9808977376132256,0.9884142956901815,False,3,pattern,1000,274131568,0.1584528529687979,sub-02,subject,0.9706979912641747,,0.21747825217478253,0.7902166760798013,10000,12789112940224746657,0.9915646607547265,0.9810331383566003,0.9697737063821767,0.19304229597369058,0.06120467712118735,0.039317098665573265,False
LOC,correlation,weights_sorted_fMRI1_test_100_euclidean_rdm.csv,L1,cosine,100,4950,0.9932821775910973,0.9848752464191873,0.9915127324109534,0.9948540460218066,0.9808977376132256,0.9884142956901815,False,3,pattern,1000,274131568,0.1584528529687979,sub-03,subject,0.9790820015273292,,0.012198780121987801,2.304335378083558,10000,12789112940224746658,0.9944981482745172,0.9875971612331519,0.9772168702499628,0.1467120805157802,0.24354135082335412,0.11609683137469395,False
